,names,dob,positon,month,year
2,Cristian Martín ,"<td class=""zentriert"">21/01/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,01,98
3,Santiago Rosas ,"<td class=""zentriert"">08/04/1998 (24)</td>",<tr><td>Pivote</td></tr>,04,98
4,Ezequiel Peña ,"<td class=""zentriert"">20/01/1998 (24)</td>",<tr><td>Extremo izquierdo</td></tr>,01,98
5,Manuel Cáceres ,"<td class=""zentriert"">13/01/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,01,98
6,Lázaro Branca ,"<td class=""zentriert"">28/03/1998 (24)</td>",<tr><td>Mediocentro ofensivo</td></tr>,03,98
7,Emiliano Coitiño ,"<td class=""zentriert"">29/04/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,04,98
8,Joaquín Salvatto ,"<td class=""zentriert"">06/03/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,03,98
9,Nicolás Rodríguez ,"<td class=""zentriert"">10/10/1998 (24)</td>",<tr><td>Defensa central</td></tr>,10,98
10,Esteban Gómez ,"<td class=""zentriert"">12/11/1998 (23)</td>",<tr><td>Medio campo</td></tr>,11,98
11,Lorenzo Bidart ,"<td class=""zentriert"">25/09/1998 (24)</td>",<tr><td>Portero</td></tr>,09,98
12,Clever Quintana ,"<td class=""zentriert"">20/01/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,01,98
13,Álvaro Fernández ,"<td class=""zentriert"">05/06/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,06,98
14,Jairo Baladón ,"<td class=""zentriert"">06/08/1998 (24)</td>",<tr><td>Medio campo</td></tr>,08,98
15,Nahuel Rivero ,"<td class=""zentriert"">21/08/1998 (24)</td>",<tr><td>Medio campo</td></tr>,08,98
16,Santiago Rodrìguez ,"<td class=""zentriert"">01/05/1998 (24)</td>",<tr><td>Mediapunta</td></tr>,05,98
17,Néstor Álvarez ,"<td class=""zentriert"">05/11/1998 (23)</td>",<tr><td>Delantero</td></tr>,11,98
18,Fabrizio Torres ,"<td class=""zentriert"">17/12/1998 (23)</td>",<tr><td>Lateral derecho</td></tr>,12,98
19,Nicolás Martínez ,"<td class=""zentriert"">01/08/1998 (24)</td>",<tr><td>Portero</td></tr>,08,98
20,Carlos de Pena ,"<td class=""zentriert"">15/02/1998 (24)</td>",<tr><td>Medio campo</td></tr>,02,98
21,Sergio Falcón ,"<td class=""zentriert"">28/05/1998 (24)</td>",<tr><td>Medio campo</td></tr>,05,98
22,Juan Núñez ,"<td class=""zentriert"">31/03/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,03,98
23,Valentín Martins ,"<td class=""zentriert"">08/06/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,06,98
24,Sebastián Burgos ,"<td class=""zentriert"">11/04/1998 (24)</td>",<tr><td>Interior izquierdo</td></tr>,04,98
0,Guillermo Corbo ,"<td class=""zentriert"">11/12/1998 (23)</td>",<tr><td>Mediocentro</td></tr>,12,98
1,Cristhian Amestoy ,"<td class=""zentriert"">19/03/1998 (24)</td>",<tr><td>Portero</td></tr>,03,98
2,Nicolás Viera ,"<td class=""zentriert"">07/08/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,08,98
3,Joaquín Pintos ,"<td class=""zentriert"">30/06/1998 (24)</td>",<tr><td>Portero</td></tr>,06,98
4,Rodrigo Miraglia ,"<td class=""zentriert"">07/08/1998 (24)</td>",<tr><td>Defensa</td></tr>,08,98
5,Agustín Nadal ,"<td class=""zentriert"">13/07/1998 (24)</td>",<tr><td>Portero</td></tr>,07,98
6,Mathías Céspedes ,"<td class=""zentriert"">03/11/1998 (23)</td>",<tr><td>Defensa central</td></tr>,11,98
7,Javier González ,"<td class=""zentriert"">14/02/1998 (24)</td>",<tr><td>Medio campo</td></tr>,02,98
8,Bruno Pintos ,"<td class=""zentriert"">19/03/1998 (24)</td>",<tr><td>Portero</td></tr>,03,98
9,Bruno Bouchard ,"<td class=""zentriert"">04/03/1998 (24)</td>",<tr><td>Portero</td></tr>,03,98
10,Gastón Cedrez ,"<td class=""zentriert"">19/05/1998 (24)</td>",<tr><td>Extremo derecho</td></tr>,05,98
11,Maximiliano San Martín ,"<td class=""zentriert"">28/05/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,05,98
0,Darwin Núñez ,"<td class=""zentriert"">24/06/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,06,99
1,Ronald Araújo ,"<td class=""zentriert"">07/03/1999 (23)</td>",<tr><td>Defensa central</td></tr>,03,99
2,Nicolás Acevedo ,"<td class=""zentriert"">14/04/1999 (23)</td>",<tr><td>Pivote</td></tr>,04,99
3,Sebastián Cáceres ,"<td class=""zentriert"">18/08/1999 (23)</td>",<tr><td>Defensa central</td></tr>,08,99
4,Bruno Méndez ,"<td class=""zentriert"">10/09/1999 (23)</td>",<tr><td>Defensa central</td></tr>,09,99
5,Emiliano Martínez ,"<td class=""zentriert"">17/08/1999 (23)</td>",<tr><td>Pivote</td></tr>,08,99
6,Francisco Ginella ,"<td class=""zentriert"">21/01/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,01,99
7,Brian Ocampo ,"<td class=""zentriert"">25/06/1999 (23)</td>",<tr><td>Extremo derecho</td></tr>,06,99
8,Facundo Batista ,"<td class=""zentriert"">16/01/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,01,99
